Stichwort,Titel,Beschreibung,Sprachausgabe
truella,trülla,"(trüllat)etwas oder sich selbst 'drehen'. Mhd. drillen.",
trumma,Trumma,"f. Dim. Trümmali 'Trommel'.",
trummachnebl,Trummachnebl,"m.'Flockenblume (Centaurea scabiosa). Zu Trumma und Chnebl.",
truemmlig,trümmlig,"'schwindlig, taumelnd'.",
trumult,Trumult,m.'«Tumult»'.,
trung,Trung,"m.'Trinkfest des Alppersonals nach dem Alpabtrieb', zum Trung lädt der Alpvogt ein,'Trinkfest am Abend der Hochzeit'.",
trueuega,trüüga,"(troga)'«trügen», täuschen'.",
tschaagga,Tschaagga,"m. Pl. gl.'grober Ausdruck für Fuss oder Bein bei Vieh und Mensch. Rätoromanisch tschacca 'Klaue'.",
tschaeaerpa,Tschäärpa,"f. Pl. gl., Dim Tschäärpi 'Scherbe, Bruchstück aus Porzellan, Glas oder Ton'. Mhd. schërbe.",
tschaeba,tschäba,"(tschäbat)'schlürfend gehen'.",
tschaedara,tschädara,"(tschädarat)'schwatzen'. Vgl. auch tschättara.",
tschaegg,Tschägg,"m. Pl. Tschägga'geflecktes Tier'. Mhd. schëcke.",
tschaegga,tschägga,"(tschäggat)'apern', wenn der Boden nur noch teilweise mit Schnee bedeckt ist, vgl. das folgende tschäggat.",
tschaeggat,tschäggat,"'gefleckt sein'. Mhd. schëckeht.",
tschappali,Tschappali,"n. Pl. gl.'Skapuliermedaille'. Auch Bulzi.",
tschapperli,Tschapperli,"n. Pl gl.'gutmütige aber einfältige Frau'.",
tschaettara_1,Tschättara,"f. Pl. gl.'nicht mehr gut tönende Schälla','alte Schallplatte','Schwatzbase'.",
tschaetterlaecht,tschätterlächt,"'alt; zu nichts zu gebrauchen'. Vgl. auch schlampalächt.",
tschidari,Tschidari,"m. Pl. gl.'Schwätzer'.",
tschiegga,tschiegga,"(tschieggat)'gehen, wandern'. Zu mhd. schiec 'schief'.",
tschiela,Tschiela,"f. Pl. gl.'relativ grosses, trockenes Stück Dreck oder Mist'.",
tschiepala,Tschiepala,koll.'Haarschuppen'.,
tschilifigg,Tschilifigg,"m.'schielendes Tier'. Vgl. Schilifigg.",
tschirgga,tschirgga,"(tschirggat)'eine Arbeit mit Gewalt verrichten', vor allem vom Mähen.",
tscholla,Tscholla,"m. Pl. Tschölla, Dim. Tscholli'Schnee-, Eis- oder Erdklumpen','Kufe der Wiege'.",
tschongga,Tschongga,"m. Pl. Tschöngga'grosses Stück', hauptsächlich von Fleisch.",
tschooli,Tschooli,"m. Pl. gl.'gutmütiger Mensch'.","Dein Browser unterstützt die Sprachausgabe nicht."
tschoopa,Tschoopa,"m. Pl. Tschööpa, Dim. Tschoopi'Kittel'. Mhd. schope.",
tschottla,tschottla,(tschottlat)'schütteln'.,
tschudl,Tschudl,"m. Pl. Tschüdl, Dim. Tschudelti 'ungekämmtes Haar'.",
tschudla,tschudla,"(tschudlat)'an den Haaren reissen'. Vgl. vertschudla.",
tschuld,tschuld,"'schuldig'. Du bischt tschuld '«du bist schuld»'; tschuld si wr ja scho sälber '«schuld sind wir ja schon selbst'.",
tschumperli,Tschumperli,"n.'kleines, einfältiges, aber harmloses Weib'",
tschumpl,Tschumpl,"m. Pl. Tschümpl 'dummer, unbeholfener, aber gutmütiger Mensch'.",
tschuppa,Tschuppa,"f. Pl. gl.'eine (kleine) Anzahl, Gruppe'.",
tschuppla,Tschuppla,"f. Pl. gl.an Tschupla Heu 'ein (kleiner) Haufen Heu', etwa, was man mit zwei Händen noch schnell fassen kann.",
tschutta,tschutta,"(tschuttat)'Fussball spielen'.",
tschuettarueueschi,Tschüttarüüschi,"f. koll.'Hautausschlag, Flechte, Herpes'.",
tschuttiplatz,Tschuttiplatz,m.'Fussballplatz'.,
tschuupa,tschuupa,"(tschuupat)'an den Haaren reissen'.",
tua,tua,"(taa)'tun'. Tua tuad r nüüd '«tun tut er nichts», er arbeitet überhaupt nichts'.",
tuach,Tuach,"n. Pl. Tüacher, Dim. Tüachli 'Tuch'.",
tubagg,Tubagg,"m.'Tabak'. Nur in der Redewendung bis ana Tubagg '«bis anno Tabak»; ewig'. Für Tabak nur die Kurzform Bagg.",
tubl,Tubl,"m. Pl. Tübl, Dim. Tübali'«Dübel», Holzzapfen zur Befestigung von Balken','blödsinniger Mensch' (Dim. Tubali).",
tudara,tudara,"(tudarat)'viel (unwichtiges) Zeug reden'.",
tudari,Tudari,"m. Pl. gl.'Schwätzer'.",
tudda,Tudda,"f. Pl. gl.'Verdichtung beim Astansatz eines Baumes'. Vgl. Wättertanna.",
tugalig,tugalig,"'brav, anständig'.",
tummla,tummla,(tummlat)'pressieren'.,
tunchl_1,Tunchl,"m. koll.'das Dunkel'. In Tunchl aab guats gnuag '«ins Dunkel hinunter gut genug»' sagt man zu einem nicht sonderlich guten Essen.",
tunga,Tunga,"n.'«Dünken»'. Mich tungt s '«mich dünkt es»',  um ds Tunga '«um das Dünken», mit einem nur kleinen Unterschied'. Mhd. dunken.",
tungga,tungga,"(tunggat)etwas 'eintauchen', vor allem Brot in eine Flüssigkeit.",
tuengga,tüngga,(tünggt)'«düngen»'.,
tupfaeba,tupfäba,"'«tupfeben», sehr flach'.",
tuer,Tür,"f. Pl. Türa, Dim. Türli 'Türe'.",
tuera,türa,"(türat)'eine Türe (immer wieder) auf- und zumachen', auch verstärkt ummatüra.",
tura,Tura,"m. Pl. Türa, Dim. Türali'Turm'. Mhd. turn.",
tuergga,Türgga,"m. koll.'Türkenkorn, Mais'.",
tuerggabrood,Türggabrood,"n.'«Türkenbrot»; Brot aus oder mit Zusatz von Maismehl'.",
tuerggamael,Türggamäl,"n.'«Türkenmehl»; Maismehl'.",
tuerggaribl,Türggaribl,"m.'Ribl aus Maismehl', im Gegensatz zum Sämmlribl.",
turmenta,Turmenta,"koll.'Eigenheiten, komische Gewohnheiten'. Ital. tormento.",
tuschuur,tuschuur,"'immer, andauernd'. Auch albi. Frz. toujours.",
tusla,Tusla,"f. Pl. gl.'Ohrfeige'.",
tusm,tusm,"'kleinlaut, gedrückt, verschüchtert'. As ischt ganz tusms vom Kind, schi ischt ganz tusmi von der Frau, ar ischt ganz tusma vom Mann. Vgl. auch vertusma.",
tuetsch,Tütsch,"m. Pl. gl.'Holzklotz zum Abschliessen des Schorlochs'. Kurz für Schorlochtütsch.",
tutsch,Tutsch,"m. Pl. Tütsch, Dim. Tutschi'Geräusch von einem Fall oder Aufschlag'.",
tuetscha,tütscha,"(tütscht)'stossen, schlagen, dumpf aufschlagen'. Eiertütscha 'das Zusammenstossen der Eier an Ostern'. Zu Tutsch.",
tuetschi,Tütschi,"n. Pl. gl.'Brett, Bohle des Stallbodens bzw. zum Abdecken des Mistlägers'.",
tutt,Tutt,"m.'Ton', nur in der Redensart kän Tutt hööra 'nichts hören, taub sein'. Vgl.  auch Stich.",
tueuechl,Tüüchl,"m.'hölzerne Leitungsröhre', mit einem Durchmesser von ca. 20 cm. Mhd. tiuchel.",
tuuda,Tuuda,"f. Pl. gl., Dim. Tuudi 'griesgrämiges Gesicht'.",
tuuga,Tuuga,"f. Pl. gl.'Daube'. Vgl. auch Fas-Tuuga. Mhd. dûge.",
tuuma,Tuuma,"m. Pl. Tüüma, Dim. Tuumi'Daumen'.Kinderreim: Das ischt der Tuuma, där (Zeigefinger) schüttlat d Pfluuma,där (Mittelfinger) list scha uuf, där (Ringfinger) treid scha hei, undder Chleinschta frissat alla ganz alei.",
tuussa,tuussa,"(tuussat) Dim. tüüssla'herumschleichen (um nicht gesehen zu werden)'. Auch tiicha.",
"tuussi,",Tuussi,"auch Tussli m. Pl. gl.'einer der tuussat'.",
u_1,u,"verstärkend u streng 'sehr anstrengend'. Vgl. auch huara.",
uaha,uaha,"'«aufher», herauf'.",
uber_1,uber,"'über'. Uber und uber 'kopfüber'; uber däna 'jenseits, drüben'; uber ajäna [àj´äna] 'herüben'; uber dinna 'drinnen', speziell 'hinter dem Kulm drinnen'; uberdür 'hinüber'; uberi [ùberí] 'hinein'; uberajinna [ùberajínna] 'herinnen'.",
uberbrudla,uberbrudla,"(uberbrudlat)'«überbrudeln», etwas mit Wasser übergiessen'.",
ubercho,ubercho,"(uberko)'erhalten, bekommen'.",
ubergschuea,Ubergschüa,"n. koll.'Überschuhwerk'.",
uberhaeaess,Uberhääss,"n.'Überkleid, Arbeitskleidung'.",
uberhosa,Uberhosa,"f.'Überziehhose'.",
uberi,uberi,"[úberi]'hinüber, darüber'. Auch vom Most, wenn er sauer wird (jetz ischt r uberi).",
uberluepfa,uberlüpfa,"(uberlüpft)'«überlüpfen», sich zuviel zumuten'.",
ubernae,ubernä,"'«übernehmen», sich zuviel zumuten'.",
uberschiinig,uberschiinig,"'«überscheinig»; schattig'. Siehe auch litzig.",
uberschlaa,uberschlaa,"(uberschlaga)'«überschlagen», ungefähr berechnen','leicht anwärmen'",
ubersieda,ubersieda,"(ubersotta)'«übersieden», kurz sieden'.",
ubertotza,ubertotza,"(ubertotzat)'sich überschlagen'. Ar hed schi ubertotzat 'es hat ihn überschlagen'. Zu totza.",
uf,uf,"'auf'. Uf am Bomm '«auf dem Baum»'. Uf Ooschtara 'zu Ostern', uf  Wienicht 'zu Weihnachten'.",
uflaat,Uflaat,"m. Pl. Ufläät'Mensch der ufleetig ist'.",
ufleetig,ufleetig,"'unmässig, frech'. Mhd. unvlaetic.",
ufuearig,ufüarig,"'nicht gut handzuhaben'. Gegenteil von füarig. Zu führen.",
ugaeaera,ugäära,'«ungern»'.,
ugfel,Ugfel,"n. koll.'Unglück, Missgeschick, Pech'. Im Gegenteil von Gfel 'Glück'. Mhd. ungevelle.",
ugfellig,ugfellig,"'mit Unglück behaftet'.",
ughoblat,ughoblat,"'«ungehobelt' unkultiviert, ohne Manieren'.",
ugschinierd,ugschinierd,"'«ungeniert»'. Zu schiniera.",
ugsinnat,ugsinnat,"'«ungesinnt», unerwartet'.",
uhauig,uhauig,"'«unhauig», schlecht zu mähen'. Vgl. auch hauig.",
ukeid,ukeid,"'bösartig', in den Redensarten ukeid und rüabig laa 'in Ruhe lassen', ar ischt nid ukeid 'er ist nicht bösartig, er ist in Ordnung'. Zu keia.",
uluuna,Uluuna,"f.'«Unlaune», schlechte Laune.","Dein Browser unterstützt die Sprachausgabe nicht."
umma,umma,"'«umher», herum; da, hier; anwesend'. Äär ischt umma 'er ist anwesend'.",
ummagschpura,ummagschpura,"(ummagschpurat)'nervös umherirren'. Zu Gschpur.",
ummaluaga,ummaluaga,"(ummagluagat)'«umherlugen», sich umschauen'.",
ummanueschtara,ummanüschtara,"(ummagnüschtarat)'(etwas suchend) herumwühlen'. Zu nüschtara.",
ummapfura,ummapfura,"(ummapfurat)'«umherpfurren», schlecht gelaunt sein und planlos herumrennen'. Auch einfach pfura.",
ummastofara,ummastofara,"(ummagschtofarat)'planlos umherschlendern'. Zu stofara.",
ummasura,ummasura,"(ummagsurat)'herumnörgeln'. Zu sura.",
ummasus,ummasus,"[ùmmasús]'«umsonst», gratis','vergeblich'.",
ummazwaera,ummazwära,"(ummazwärat)'umhertorkeln'. Zu zwära.",
ummi,ummi,"'«umhin», um ... herum'.",
ummiaessa,ummiässa,"(ummiggässa)'«umheressen», in verschiedenen Privathäusern die Mahlzeiten zu sich nehmen'.",
ummiwaeaercha,ummiwäärcha,"(ummigwäärchat)'unentgeltliches gegenseitiges gemeinsames Arbeiten unter Nachbarn'. Zu wäärcha.",
umtroola,umtroola,"(umtroolat)'umfallen, stürzen'. Zu troola.",
under,under,"'unter','während'. 
Under dr Mäss, under dr Schual 'während der Messe, während der Schule'.",
underhuus,Underhuus,"n.'die Räumlichkeiten, die sich auf gleicher Höhe wie der Keller befinden, aber einen eigenen Eingang von aussen haben; Kellerraum mit eigenem Eingang'. Das Underhuus diente als Waschküche, Werkstatt oder Aufbewahrungsraum.",
underobschi,underobschi,"[únderòbschi]'verkehrt, kopfüber'. Vgl. auch obschi.",
underschlacht,Underschlacht,"f.'Abteil im Stall'.",
understaa,understaa,"(understanda)'«unterstehen»'. Understand di! '«unterstehe Dich», wage es nicht!'.",
undertaga,undertaga,"[ùntertága]'tagsüber, tags'.",
unegla,unegla,"(ugneglat)[únègla]'stark, schmerzhaft frieren', meist an Fingern oder Zehen.",
unentli,unentli,"[ùnéntli]'«unendlich»', auch verstärkend 'sehr'. An Unentlaga 'ein grosser Rausch'.",
unerbroschta,unerbroschta,"'ganz, unangetastet, unversehrt, noch nicht geöffnet'.",
ungfaar,ungfaar,'«ungefähr»'.,
unna,unna,"'unten'. Unna dunna '«unten drunten», im unteren Stockwerk'.",
uensch,ünsch,"'uns', abgeschwächt isch (mid isch 'mit uns'. Üns Huus 'unser Haus', ünsch Chüa 'unsere Kühe', ünschi Fäärli 'unsere Schweine', ünsch Stiera 'unsere Stiere'.",
uenschereis,ünschereis,'«unsereiner»'.,
unschlig,Unschlig,"m.'Tierfett für den Tägl'. Gewöhnlich Schweine- oder Rinderfett. Mhd. unslit.",
uraana,Uraana,"f.'Urgrossmutter'. Zu Aana.",
urchig,urchig,"'echt' (nur vom Menschen) .",
ureni,Ureni,"m.'Urgrossvater'. Zu Eni.",
urhab,urhab,"ist das Wetter im Sommer nach einem Regenguss, wenn es wieder heiss und niederschlagsfrei ist, auch wenn es zwar niederschlagsfrei aber bewölkt ist.","Dein Browser unterstützt die Sprachausgabe nicht."
ursschali,Ursschali,"n.,weibl. Vorname, Koseform von Ursula.",
urueabig,urüabig,"'unruhig, nervös'. Das Gegenteil ist rüabig.","Dein Browser unterstützt die Sprachausgabe nicht."
usaegalig,usägalig,"'unsagbar'. Zu nhd. sagen.",
usanandera,usanandera,[ùsanándara]'auseinander'.,
usantara,usantara,"(ugsantarat)[úsàntara] 'spötteln; nach-, ausmachen'.",
ueserfrauatag,"Üserfrauatag","'«Unserfrauentag», Mariae Himmelfahrt', der 15. August. Wenn die Kühe vergaalten, geht die Milch zurück und zwar: A Jakobi as Rütschli, a Üserfrauatag an Rutsch, a Maria Geburt an Putsch.",
ueserhaerrgottstag,"Üserhärrgottstag","m.'«Unserherrgottstag», Fronleichnam'.",
ueserhaerrgottswinchl,"Üserhärrgottswinchl","m.'Ecke in der Stuba (zwischen den Fensterseiten), in der ein Kruzifix und religiöse Bilder hängen'. Auch Härrgottswinchel, heute eher Tisschwinchl.",
usoeoed,usööd,"[ús`ö:d]'unfreundlich, schlecht gelaunt'.",
usuuber,usuuber,"'«unsauber», charakterlos'.",
uuf,uuf,"'hinauf, aufwärts'. Danuuf 'da hinauf'.",
uufbinda,uufbinda,"(uufpunda)'«aufbinden»; bei der Alpabfahrt die Kühe mit Blumen schmücken'.",
uuflaesa,uufläsa,"(uufgläsa)'«auflesen», vom Boden aufheben', vor allem das Obst das von den Bäumen gefallen ist.",
uufmeetra,uufmeetra,"(uufgmeetrat)'«aufmetern», Holz aufschichten.",
uufnae,uufnä,"'«aufnehmen»; mit einem nassen Lappen (oberflächlich) abwischen'. Siehe auch blätza.",
uufraeaera,uufräära,"(uufgräärat)'kurz weinen', von Kleinkindern. Auch zwägräära. Zu räära.",
uufraetzga,uufrätzga,"(uufgrätzgat)'eine Last mühsam aufwärts ziehen'. Zu rätzga.",
uufschwaenza,uufschwänza,"(uufgschwänzt)'«aufschwänzen»; den Kühen im Stall die Schwänze festbinden'.",
uufschwaenzschnuar,Uufschwänzschnuar,"f.'«Aufschwänzschnur»; die Schnur, mit welcher die Schwänze der Kühe im Stall festgebunden werden'.",
uuftroeoela,uuftrööla,"(uuftröölat)'«auftrölen»; Rundholz aufschichten', die Wände über Keller und Küche waren ursprünglich wohl allgemein aus Rundholz aufgetrölt. Zu trööla.",
uufzug,Uufzug,"m. Pl. Uufzüg 'schmaler, höhergelegener Magerheuwiesenstreifen'.",
uus,uus,"'aus, hinaus'.",
uusbissnat,uusbissnat,"'überaus', nur in der Verbindung mit voll. Uusbissnat volla 'komplett gefüllt'.","Dein Browser unterstützt die Sprachausgabe nicht."
uusfueara,uusfüara,"(uusgfüard)'«ausführen»; Mist oder Jauche auf die Wiesen führen.'",
uusgae,uusgä,"(uusggä)'«ausgeben»; ertragreich sein'. As hed uusggä 'es war (sehr) ertragreich.",
uushoerchhla,uushörchhla,"(uusghörchhlat)'heimlich und unerlaubter Weise zuhören'. Auch einfach hörchhla.",
uusjassa,uusjassa,"(uusgjassat)'«ausjassen»; eine Sache durch ein Kartenspiel entscheiden'.",
uuslaa,uuslaa,"(uusglaa)'«auslassen»; das Vieh aus dem Stall lassen','die erste Karte beim beim Kartenspiel werfen'.",
uusmaarchha,uusmaarchha,"(uusgmaarchhat)'«ausmarken»; die Grenzen eines Grundstückes feststellen und bezeichnen.",
uusmiesa,uusmiesa,"(uusgmiesat)'die Fugen zwischen den Balken eines gestrickten Hauses mit Moos ausdichten'.",
uusplampa,uusplampa,"(uusplampat)'zu Ende gehen, langsam ausklingen'.",
uusrichta,uusrichta,"(uusgricht)jemanden '«ausrichten», verleumden',nüüd uusrichta chunna '«nichts ausrichten können», nicht im Stande sein'.",
uusruumati,Uusruumati,"f. koll.'Rest des Futters im Baarma'. Auch Schabati und Schabi.",
uusrueueta,uusrüüta,"(uusgrüütat)'«ausreuten», roden, urbar machen'.",
uussa,uussa,"'«ausher»; heraus'.",
uussacho,uussacho,"(uussako)'«herauskommen»','sich herausstellen'.",
uussagaeaeld,Uussagääld,"f.'«Herausgeld», Wechselgeld'.",
uusschlipfa,uusschlipfa,"(uusgschlipft)'«ausschlipfen»; ausgleiten'.",
uusschora,uusschora,"(uusgschorat)'auf das kleine Mistlager befördern'. Zu schora.",
uusser,uusser,'ausser'.,
uusspreita,uusspreita,"(uusgschpreitat)'ausbreiten'. Auch spreita.",
uuswaeaercha,uuswäärcha,"(uusgwäärchat)'die Balken zurichten, damit sie beim gestrickten Hause mit Moos gedichtet werden können'. Vgl. auch uusmiesa.",
uuswala,uuswala,"(uusgwalat)'Teig dünn auswalzen'.",
uuswaerts,uuswärts,"'«auswärts»; ausserhalb des Dorfes, ausserhalb des (eigenen) Hauses, nicht zu Hause, im Ausland'.",
uuswendaga,Uuswendaga,"n.'Aussenseite; das, was ausserhalb liegt'.",
uuswendig,uuswendig,"'«auswendig»; ausserhalb, aussen gelegen'.",
uuswiita,uuswiita,"(uusgwiitat)'«ausweiten»; im Umfang grösser machen'.",
uuswinda,uuswinda,"(uusgwunda)'auswringen'. Mhd. ringen, wringen. Vgl. auch ringa.",
uuszaenna,uuszänna,"(uuszännat)'die Zunge zeigen'. Zu zänna.",
uuszerig,Uuszerig,"f. koll.'«Auszehrung», Tuberkulose'.",
uuszia,uuszia,"(uuszoga)'«ausziehen», schnell gehen, grosse Schritte nehmen'.",
uuter,Uuter,"n. Pl. gl.'Euter'.",
uwaeaerd,uwäärd,"'«unwert»'. Das Gegenteil ist wäärd.",
uwuertsch,uwürtsch,"'«unwirsch», unfreundlich'.",
valicht,valicht,'vielleicht'.,
vee,Vee,"n. koll.'Vieh'.",
veechaemmi,Veechämmi,"n.'Viehhalsband'. Zu Chämmi.",
veegschir,Veegschir,"n. koll.'Zuggeschirr für Rinder'.",
veenaerrsch,veenärrsch,"'verrückt nach dem Vieh'. Von einem Menschen, der lieber im Stall beim Vieh ist als unter Menschen, auch von einem wenig leutseligen Menschen sagt man, er sei veenärrsch und lüütaschüüch (er scheut die Leute). Zu närrsch.",
veeschaaf,Veeschaaf,"n.'«Viehschaf»; im Kuhstall gehaltenes Schaf'.",
veiali,Veiali,n.'Veilchen'.,
veraebna,veräbna,"(veräbnat)'«verebnen»; das neu Zuteilen von Alprechten zu einer bestimmten Alp'.",
verbeischara,verbeischara,"(verbeischarat)'zertrampeln von Gras'. Auch beischara.",
verbrenna,verbrenna,"(verbrennd)'(etwas) verbrennen'",
verbrinna,verbrinna,(verbrunna)'verbrennen'.,
verbrueaja,verbrüaja,"(verbrüad)'mit heissem Wasser verbrennen'.",
verbutza,verbutza,"(verbutzat)«verputzen», nur negativ nid verbutza muga 'nicht leiden mögen';'urbarisieren, nach der Rodung aufräumen';'eine Wand mit Gips «verputzen»';'platzen'. 
As hed mi fascht verbutzat 'ich bin fast geplatzt (vor Lachen)'.",
verchanz,Verchanz,Ferchanz,
verchaeua,verchäua,(verchäud)'zerkauen'.,
vercheera,vercheera,"(vercheerd)'umdrehen, umkehren'. Vercheerd 'falsch, lätz'.",
verchlepfa,verchlepfa,"(verchlepft)'zum Platzen bringen',Gääld verchlepfa 'Geld unnötig ausgeben'. 
Zu chlepfa.","Dein Browser unterstützt die Sprachausgabe nicht."
verdiena,Verdiena,"n.'«Verdienen»', nur im Ausruf heiligs Verdiena!",
verdienscht,Verdienscht,"m.'«Verdienst», Lohn, Entlöhnung'.",
vergaeaelta,vergäälta,"(vergolta)'«vergelten»'. Vergäält s Gott wurde in der Regel anstatt ""Danke"" gesagt.",
vergaalta,vergaalta,"'galt werden', die Kühe geben dann keine Milch. Redensart siehe Üserfrauatag. Vgl. gaalt.",
vergaeba,vergäba,'«vergebens»'.,
vergengga,vergengga,"(vergenggat)'flüssig machen, schmelzen', besonders vom Fett.",
vergitzla,vergitzla,"(vergitzlat)'kaum erwarten können'. I bi fascht vergitzlat 'ich konnte es kaum noch erwarten'. Auch verzipfla.",
vergraba,vergraba,(vergraba)'begraben'.,
vergrebner,Vergrebner,"m. Pl. gl.'Totengräber'.",
vergrebnisch,Vergrebnisch,"n. Pl. gl.'Begräbnis'.",
vergremma,vergremma,"(vergremmd)'«vergrämen», verärgern; erzürnen'",
vergueata,vergüata,"(vergüat)'sich entzünden', von einer Wunde.",
vergunna,vergunna,"(vergunnat)'«vergönnen», missgönnen'. Das Gegenteil ist gunna.",
vergunscht,Vergunscht,m.'Missgunst'.,
verguenschtig,vergünschtig,"'missgünstig, neidisch'.",
vergwenna,vergwenna,"(vergwennd)'«verwöhnen»'. Auch verhätschla.",
verhaechhla,verhächhla,"(verhächhlat)jemanden verhächhla 'kein gutes Haar an jemandem lassen'.",
verhaetschla,verhätschla,"(verhätschlat)'verwöhnen', ein Kind oder ein Haustier. Auch vergwenna.",
verheba,verheba,"(verhebt)'«verheben»; etwas aushalten, unterdrücken'. Äns verhebt 'das hält aus'. Vgl. auch wära.",
verheia,verheia,"(verheid)etwas 'zerbrechen; unbrauchbar, kaputt machen','unbrauchbar werden, kaputt gehen'. 
Mhd. verhîen 'schänden, zugrunde richten, zerschlagen'. Redensart verheid und verloga 'gelogen'.",
verhoefft,verhöfft,"'verhindert sein, mit eigener Arbeit eingedeckt sein'. Vil sind da Herbscht no verhöfft 'im Herbst haben viele (Bauern) selbst noch genug zu tun'.",
verjaga,verjaga,"(verjagt)'«verjagen», fortjagen',es hat etwas verjagt, wenn es explodiert ist.",
verlaechharat,verlächharat,"'undicht, leck'. Zu mhd. lëchen.",
"verliida,",verliida,"auch vertliida (verlitta, auch vertlitta) 'Mühe haben; einen Verlitt haben'.",
verlitt,Verlitt,"m.,auch Vertlitt 'Mühe'. An Verlitt ha 'sich abmühen, etwas mit grosser Mühe bewerkstelligen'. Vgl. auch Cheer.","Dein Browser unterstützt die Sprachausgabe nicht."
verlochha,verlochha,"(verlochhat)'«verlochen»; eingraben'.",
verlumpa,verlumpa,"(verlumpat)'«verlumpen»; Konkurs machen'.",
verluusa,verluusa,"(verluusat)'verlesen, die besseren Stücke aus etwas herauslesen'. Verluusat 'zerzaust'.",
vermachha,vermachha,"(vermachhat)'«vermachen», vererben','verschliessen', etwa ein Fenster mit Brettern.",
vermuasla,vermuasla,"(vermuaslat)'«vermuslen», zerdrücken, zu Mus machen', übertragen auch 'verschmieren'.",
vermuggsa,vermuggsa,"'einen Muggs von sich geben'. Jetz tüad ir eu nümma vermuggsa 'von Euch will ich jetzt keinen Ton mehr hören'. Kurz muggsa.",
vernaepsa,vernäpsa,"(vernäpsat)'einschlafen'. Zu näpsa. Auch vernoora und vertusma.",
vernarat,vernarat,"'«vernarrt»; verliebt'. Schi sind ganz vernarat inanand.",
vernaerrscha,vernärrscha,"(vernärrschat)'irre werden, den Verstand verlieren'. Zu närrsch.",
vernoora,vernoora,"(vernoorat)'kurz einschlafen'. Vgl. auch noora, näpsa, vernäpsa und vertusma.",
vernoeoeti,Vernööti,"f.'Bedrängnis, Eile'. Ir Vernööti 'in Eile'. Zu nhd. Not. Vgl. auch nööta.",
vernueueta,vernüüta,"(vernüütat)'herunterwürdigen'. Zu nüüd.",
verribla,verribla,"(verriblat)'zerreiben'. Zu ribla.",
verroda,verroda,"(verrodat)'sich bewegen'. Um ds Verroda 'um jeden Preis'.",
